i	rgb	r	g	b	maxRGB	minRGB	c	h
175	34,18,14	34.0	18.0	14.0	34.0	14.0	20.0	12.0
176	47,21,10	47.0	21.0	10.0	47.0	10.0	37.0	17.8378378378
177	46,20,10	46.0	20.0	10.0	46.0	10.0	36.0	16.6666666667
178	52,25,13	52.0	25.0	13.0	52.0	13.0	39.0	18.4615384615
179	45,21,11	45.0	21.0	11.0	45.0	11.0	34.0	17.6470588235
180	32,15,11	32.0	15.0	11.0	32.0	11.0	21.0	11.4285714286
181	27,13,11	27.0	13.0	11.0	27.0	11.0	16.0	7.5
182	28,13,10	28.0	13.0	10.0	28.0	10.0	18.0	10.0
183	27,13,9	27.0	13.0	9.0	27.0	9.0	18.0	13.3333333333
184	29,13,10	29.0	13.0	10.0	29.0	10.0	19.0	9.47368421053
185	35,16,9	35.0	16.0	9.0	35.0	9.0	26.0	16.1538461538
186	31,15,9	31.0	15.0	9.0	31.0	9.0	22.0	16.3636363636
187	28,13,10	28.0	13.0	10.0	28.0	10.0	18.0	10.0
188	74,51,48	74.0	51.0	48.0	74.0	48.0	26.0	6.92307692308
189	49,31,30	49.0	31.0	30.0	49.0	30.0	19.0	3.15789473684
190	49,38,41	49.0	38.0	41.0	49.0	38.0	11.0	343.636363636
191	82,70,83	82.0	70.0	83.0	83.0	70.0	13.0	295.384615385
192	103,89,85	103.0	89.0	85.0	103.0	85.0	18.0	13.3333333333
193	124,131,142	124.0	131.0	142.0	142.0	124.0	18.0	216.666666667
194	103,116,131	103.0	116.0	131.0	131.0	103.0	28.0	212.142857143
195	122,101,88	122.0	101.0	88.0	122.0	88.0	34.0	22.9411764706
196	122,100,89	122.0	100.0	89.0	122.0	89.0	33.0	20.0
197	122,101,89	122.0	101.0	89.0	122.0	89.0	33.0	21.8181818182
198	125,103,91	125.0	103.0	91.0	125.0	91.0	34.0	21.1764705882
199	126,104,92	126.0	104.0	92.0	126.0	92.0	34.0	21.1764705882
200	126,105,92	126.0	105.0	92.0	126.0	92.0	34.0	22.9411764706
201	100,82,76	100.0	82.0	76.0	100.0	76.0	24.0	15.0
202	116,99,90	116.0	99.0	90.0	116.0	90.0	26.0	20.7692307692
203	103,80,66	103.0	80.0	66.0	103.0	66.0	37.0	22.7027027027
204	106,93,84	106.0	93.0	84.0	106.0	84.0	22.0	24.5454545455
205	30,33,42	30.0	33.0	42.0	42.0	30.0	12.0	225.0
206	121,115,123	121.0	115.0	123.0	123.0	115.0	8.0	285.0
207	50,40,47	50.0	40.0	47.0	50.0	40.0	10.0	318.0
208	116,117,122	116.0	117.0	122.0	122.0	116.0	6.0	230.0
209	78,75,81	78.0	75.0	81.0	81.0	75.0	6.0	270.0
210	106,94,100	106.0	94.0	100.0	106.0	94.0	12.0	330.0
211	110,104,111	110.0	104.0	111.0	111.0	104.0	7.0	291.428571429
212	85,78,84	85.0	78.0	84.0	85.0	78.0	7.0	308.571428571
213	113,105,109	113.0	105.0	109.0	113.0	105.0	8.0	330.0
214	61,46,47	61.0	46.0	47.0	61.0	46.0	15.0	356.0
215	107,99,94	107.0	99.0	94.0	107.0	94.0	13.0	23.0769230769
216	57,49,49	57.0	49.0	49.0	57.0	49.0	8.0	0.0
217	53,45,47	53.0	45.0	47.0	53.0	45.0	8.0	345.0
218	72,68,68	72.0	68.0	68.0	72.0	68.0	4.0	0.0
219	68,61,61	68.0	61.0	61.0	68.0	61.0	7.0	0.0
220	41,27,34	41.0	27.0	34.0	41.0	27.0	14.0	330.0
221	73,69,70	73.0	69.0	70.0	73.0	69.0	4.0	345.0
222	74,69,69	74.0	69.0	69.0	74.0	69.0	5.0	0.0
223	72,66,66	72.0	66.0	66.0	72.0	66.0	6.0	0.0
224	81,78,77	81.0	78.0	77.0	81.0	77.0	4.0	15.0
225	79,76,76	79.0	76.0	76.0	79.0	76.0	3.0	0.0
226	69,65,66	69.0	65.0	66.0	69.0	65.0	4.0	345.0
227	20,20,22	20.0	20.0	22.0	22.0	20.0	2.0	240.0
228	68,47,37	68.0	47.0	37.0	68.0	37.0	31.0	19.3548387097
229	79,71,70	79.0	71.0	70.0	79.0	70.0	9.0	6.66666666667
230	54,28,24	54.0	28.0	24.0	54.0	24.0	30.0	8.0
231	71,40,29	71.0	40.0	29.0	71.0	29.0	42.0	15.7142857143
232	54,28,17	54.0	28.0	17.0	54.0	17.0	37.0	17.8378378378
233	80,43,22	80.0	43.0	22.0	80.0	22.0	58.0	21.724137931
234	71,42,27	71.0	42.0	27.0	71.0	27.0	44.0	20.4545454545
235	49,23,13	49.0	23.0	13.0	49.0	13.0	36.0	16.6666666667
236	50,26,17	50.0	26.0	17.0	50.0	17.0	33.0	16.3636363636
237	52,26,17	52.0	26.0	17.0	52.0	17.0	35.0	15.4285714286
238	48,25,15	48.0	25.0	15.0	48.0	15.0	33.0	18.1818181818
239	52,27,21	52.0	27.0	21.0	52.0	21.0	31.0	11.6129032258
240	57,29,17	57.0	29.0	17.0	57.0	17.0	40.0	18.0
241	45,19,7	45.0	19.0	7.0	45.0	7.0	38.0	18.9473684211
242	42,20,8	42.0	20.0	8.0	42.0	8.0	34.0	21.1764705882
243	51,22,9	51.0	22.0	9.0	51.0	9.0	42.0	18.5714285714
244	44,21,14	44.0	21.0	14.0	44.0	14.0	30.0	14.0
245	56,24,13	56.0	24.0	13.0	56.0	13.0	43.0	15.3488372093
246	43,21,10	43.0	21.0	10.0	43.0	10.0	33.0	20.0
247	50,22,13	50.0	22.0	13.0	50.0	13.0	37.0	14.5945945946
248	52,29,20	52.0	29.0	20.0	52.0	20.0	32.0	16.875
249	50,28,18	50.0	28.0	18.0	50.0	18.0	32.0	18.75
250	44,24,16	44.0	24.0	16.0	44.0	16.0	28.0	17.1428571429
251	41,20,11	41.0	20.0	11.0	41.0	11.0	30.0	18.0
252	59,25,10	59.0	25.0	10.0	59.0	10.0	49.0	18.3673469388
253	52,27,13	52.0	27.0	13.0	52.0	13.0	39.0	21.5384615385
254	45,22,11	45.0	22.0	11.0	45.0	11.0	34.0	19.4117647059
255	53,25,14	53.0	25.0	14.0	53.0	14.0	39.0	16.9230769231
256	54,27,12	54.0	27.0	12.0	54.0	12.0	42.0	21.4285714286
257	49,24,12	49.0	24.0	12.0	49.0	12.0	37.0	19.4594594595
258	45,23,13	45.0	23.0	13.0	45.0	13.0	32.0	18.75
259	56,32,22	56.0	32.0	22.0	56.0	22.0	34.0	17.6470588235
260	46,23,11	46.0	23.0	11.0	46.0	11.0	35.0	20.5714285714
261	35,18,11	35.0	18.0	11.0	35.0	11.0	24.0	17.5
262	43,23,12	43.0	23.0	12.0	43.0	12.0	31.0	21.2903225806
263	45,24,14	45.0	24.0	14.0	45.0	14.0	31.0	19.3548387097
264	46,24,14	46.0	24.0	14.0	46.0	14.0	32.0	18.75
265	46,24,14	46.0	24.0	14.0	46.0	14.0	32.0	18.75
266	97,82,53	97.0	82.0	53.0	97.0	53.0	44.0	39.5454545455
267	81,68,52	81.0	68.0	52.0	81.0	52.0	29.0	33.1034482759
268	105,85,62	105.0	85.0	62.0	105.0	62.0	43.0	32.0930232558
269	63,39,29	63.0	39.0	29.0	63.0	29.0	34.0	17.6470588235
270	99,85,63	99.0	85.0	63.0	99.0	63.0	36.0	36.6666666667
271	42,28,22	42.0	28.0	22.0	42.0	22.0	20.0	18.0
272	87,76,60	87.0	76.0	60.0	87.0	60.0	27.0	35.5555555556
273	101,90,65	101.0	90.0	65.0	101.0	65.0	36.0	41.6666666667
274	110,94,52	110.0	94.0	52.0	110.0	52.0	58.0	43.4482758621
275	120,107,52	120.0	107.0	52.0	120.0	52.0	68.0	48.5294117647
276	104,83,64	104.0	83.0	64.0	104.0	64.0	40.0	28.5
277	133,115,75	133.0	115.0	75.0	133.0	75.0	58.0	41.3793103448
278	144,127,86	144.0	127.0	86.0	144.0	86.0	58.0	42.4137931034
279	83,78,63	83.0	78.0	63.0	83.0	63.0	20.0	45.0
280	112,96,81	112.0	96.0	81.0	112.0	81.0	31.0	29.0322580645
281	85,69,59	85.0	69.0	59.0	85.0	59.0	26.0	23.0769230769
282	102,87,78	102.0	87.0	78.0	102.0	78.0	24.0	22.5
283	68,59,58	68.0	59.0	58.0	68.0	58.0	10.0	6.0
284	70,60,58	70.0	60.0	58.0	70.0	58.0	12.0	10.0
285	77,66,60	77.0	66.0	60.0	77.0	60.0	17.0	21.1764705882
286	71,56,54	71.0	56.0	54.0	71.0	54.0	17.0	7.05882352941
287	68,53,53	68.0	53.0	53.0	68.0	53.0	15.0	0.0
288	70,58,53	70.0	58.0	53.0	70.0	53.0	17.0	17.6470588235
289	81,69,50	81.0	69.0	50.0	81.0	50.0	31.0	36.7741935484
290	81,70,63	81.0	70.0	63.0	81.0	63.0	18.0	23.3333333333
291	76,63,48	76.0	63.0	48.0	76.0	48.0	28.0	32.1428571429
292	80,72,63	80.0	72.0	63.0	80.0	63.0	17.0	31.7647058824
293	94,85,68	94.0	85.0	68.0	94.0	68.0	26.0	39.2307692308
294	86,80,68	86.0	80.0	68.0	86.0	68.0	18.0	40.0
295	89,74,62	89.0	74.0	62.0	89.0	62.0	27.0	26.6666666667
296	97,81,67	97.0	81.0	67.0	97.0	67.0	30.0	28.0
297	96,79,67	96.0	79.0	67.0	96.0	67.0	29.0	24.8275862069
298	102,85,70	102.0	85.0	70.0	102.0	70.0	32.0	28.125
299	103,86,71	103.0	86.0	71.0	103.0	71.0	32.0	28.125
300	107,89,68	107.0	89.0	68.0	107.0	68.0	39.0	32.3076923077
301	97,88,67	97.0	88.0	67.0	97.0	67.0	30.0	42.0
302	117,117,92	117.0	117.0	92.0	117.0	92.0	25.0	60.0
303	82,73,54	82.0	73.0	54.0	82.0	54.0	28.0	40.7142857143
304	82,73,56	82.0	73.0	56.0	82.0	56.0	26.0	39.2307692308
305	80,78,59	80.0	78.0	59.0	80.0	59.0	21.0	54.2857142857
306	78,73,59	78.0	73.0	59.0	78.0	59.0	19.0	44.2105263158
307	99,76,67	99.0	76.0	67.0	99.0	67.0	32.0	16.875
308	88,81,56	88.0	81.0	56.0	88.0	56.0	32.0	46.875
309	60,39,34	60.0	39.0	34.0	60.0	34.0	26.0	11.5384615385
310	85,79,60	85.0	79.0	60.0	85.0	60.0	25.0	45.6
311	98,88,70	98.0	88.0	70.0	98.0	70.0	28.0	38.5714285714
312	112,88,76	112.0	88.0	76.0	112.0	76.0	36.0	20.0
313	57,54,46	57.0	54.0	46.0	57.0	46.0	11.0	43.6363636364
314	122,104,85	122.0	104.0	85.0	122.0	85.0	37.0	30.8108108108
315	92,76,66	92.0	76.0	66.0	92.0	66.0	26.0	23.0769230769
316	139,108,84	139.0	108.0	84.0	139.0	84.0	55.0	26.1818181818
317	115,94,72	115.0	94.0	72.0	115.0	72.0	43.0	30.6976744186
318	148,127,75	148.0	127.0	75.0	148.0	75.0	73.0	42.7397260274
319	94,73,60	94.0	73.0	60.0	94.0	60.0	34.0	22.9411764706
320	79,61,50	79.0	61.0	50.0	79.0	50.0	29.0	22.7586206897
321	104,89,79	104.0	89.0	79.0	104.0	79.0	25.0	24.0
322	99,87,64	99.0	87.0	64.0	99.0	64.0	35.0	39.4285714286
323	121,102,69	121.0	102.0	69.0	121.0	69.0	52.0	38.0769230769
324	105,82,62	105.0	82.0	62.0	105.0	62.0	43.0	27.9069767442
325	96,74,64	96.0	74.0	64.0	96.0	64.0	32.0	18.75
326	98,76,66	98.0	76.0	66.0	98.0	66.0	32.0	18.75
327	98,73,63	98.0	73.0	63.0	98.0	63.0	35.0	17.1428571429
328	110,85,73	110.0	85.0	73.0	110.0	73.0	37.0	19.4594594595
329	97,74,65	97.0	74.0	65.0	97.0	65.0	32.0	16.875
330	101,76,66	101.0	76.0	66.0	101.0	66.0	35.0	17.1428571429
331	93,71,64	93.0	71.0	64.0	93.0	64.0	29.0	14.4827586207
332	114,90,74	114.0	90.0	74.0	114.0	74.0	40.0	24.0
333	106,86,71	106.0	86.0	71.0	106.0	71.0	35.0	25.7142857143
334	109,84,72	109.0	84.0	72.0	109.0	72.0	37.0	19.4594594595
335	115,94,82	115.0	94.0	82.0	115.0	82.0	33.0	21.8181818182
336	112,91,75	112.0	91.0	75.0	112.0	75.0	37.0	25.9459459459
337	95,78,69	95.0	78.0	69.0	95.0	69.0	26.0	20.7692307692
338	104,84,74	104.0	84.0	74.0	104.0	74.0	30.0	20.0
339	110,83,66	110.0	83.0	66.0	110.0	66.0	44.0	23.1818181818
340	108,81,64	108.0	81.0	64.0	108.0	64.0	44.0	23.1818181818
341	109,87,74	109.0	87.0	74.0	109.0	74.0	35.0	22.2857142857
342	131,111,90	131.0	111.0	90.0	131.0	90.0	41.0	30.7317073171
343	126,105,72	126.0	105.0	72.0	126.0	72.0	54.0	36.6666666667
344	107,80,53	107.0	80.0	53.0	107.0	53.0	54.0	30.0
345	80,56,39	80.0	56.0	39.0	80.0	39.0	41.0	24.8780487805
346	50,38,30	50.0	38.0	30.0	50.0	30.0	20.0	24.0
347	122,102,70	122.0	102.0	70.0	122.0	70.0	52.0	36.9230769231
348	36,23,19	36.0	23.0	19.0	36.0	19.0	17.0	14.1176470588
349	41,27,20	41.0	27.0	20.0	41.0	20.0	21.0	20.0
350	26,14,8	26.0	14.0	8.0	26.0	8.0	18.0	20.0
351	41,22,7	41.0	22.0	7.0	41.0	7.0	34.0	26.4705882353
352	45,23,8	45.0	23.0	8.0	45.0	8.0	37.0	24.3243243243
353	71,36,11	71.0	36.0	11.0	71.0	11.0	60.0	25.0
354	53,28,15	53.0	28.0	15.0	53.0	15.0	38.0	20.5263157895
355	44,23,18	44.0	23.0	18.0	44.0	18.0	26.0	11.5384615385
356	61,33,22	61.0	33.0	22.0	61.0	22.0	39.0	16.9230769231
357	78,43,19	78.0	43.0	19.0	78.0	19.0	59.0	24.406779661
358	50,28,18	50.0	28.0	18.0	50.0	18.0	32.0	18.75
359	59,32,18	59.0	32.0	18.0	59.0	18.0	41.0	20.487804878
360	47,28,12	47.0	28.0	12.0	47.0	12.0	35.0	27.4285714286
361	50,28,16	50.0	28.0	16.0	50.0	16.0	34.0	21.1764705882
362	46,26,12	46.0	26.0	12.0	46.0	12.0	34.0	24.7058823529
363	52,29,14	52.0	29.0	14.0	52.0	14.0	38.0	23.6842105263
364	65,37,20	65.0	37.0	20.0	65.0	20.0	45.0	22.6666666667
365	41,24,15	41.0	24.0	15.0	41.0	15.0	26.0	20.7692307692
366	77,43,20	77.0	43.0	20.0	77.0	20.0	57.0	24.2105263158
367	74,42,21	74.0	42.0	21.0	74.0	21.0	53.0	23.7735849057
368	39,24,14	39.0	24.0	14.0	39.0	14.0	25.0	24.0
