i	rgb	r	g	b	maxRGB	minRGB	c	h
165	42,43,31	42.0	43.0	31.0	43.0	31.0	12.0	65.0
166	61,67,55	61.0	67.0	55.0	67.0	55.0	12.0	90.0
167	64,61,48	64.0	61.0	48.0	64.0	48.0	16.0	48.75
168	73,68,53	73.0	68.0	53.0	73.0	53.0	20.0	45.0
169	68,66,49	68.0	66.0	49.0	68.0	49.0	19.0	53.6842105263
170	56,53,38	56.0	53.0	38.0	56.0	38.0	18.0	50.0
171	34,30,21	34.0	30.0	21.0	34.0	21.0	13.0	41.5384615385
172	26,24,18	26.0	24.0	18.0	26.0	18.0	8.0	45.0
173	28,28,15	28.0	28.0	15.0	28.0	15.0	13.0	60.0
174	53,52,42	53.0	52.0	42.0	53.0	42.0	11.0	54.5454545455
175	26,27,17	26.0	27.0	17.0	27.0	17.0	10.0	66.0
176	96,101,82	96.0	101.0	82.0	101.0	82.0	19.0	75.7894736842
177	96,97,83	96.0	97.0	83.0	97.0	83.0	14.0	64.2857142857
178	64,71,57	64.0	71.0	57.0	71.0	57.0	14.0	90.0
179	94,95,81	94.0	95.0	81.0	95.0	81.0	14.0	64.2857142857
180	44,70,61	44.0	70.0	61.0	70.0	44.0	26.0	159.230769231
181	13,19,19	13.0	19.0	19.0	19.0	13.0	6.0	180.0
182	19,23,20	19.0	23.0	20.0	23.0	19.0	4.0	135.0
183	21,22,16	21.0	22.0	16.0	22.0	16.0	6.0	70.0
184	30,28,20	30.0	28.0	20.0	30.0	20.0	10.0	48.0
185	36,33,22	36.0	33.0	22.0	36.0	22.0	14.0	47.1428571429
186	34,31,17	34.0	31.0	17.0	34.0	17.0	17.0	49.4117647059
187	48,35,14	48.0	35.0	14.0	48.0	14.0	34.0	37.0588235294
188	128,145,137	128.0	145.0	137.0	145.0	128.0	17.0	151.764705882
189	38,40,34	38.0	40.0	34.0	40.0	34.0	6.0	80.0
190	8,14,14	8.0	14.0	14.0	14.0	8.0	6.0	180.0
191	42,41,32	42.0	41.0	32.0	42.0	32.0	10.0	54.0
192	35,26,16	35.0	26.0	16.0	35.0	16.0	19.0	31.5789473684
193	37,41,35	37.0	41.0	35.0	41.0	35.0	6.0	100.0
194	81,99,102	81.0	99.0	102.0	102.0	81.0	21.0	188.571428571
195	67,53,31	67.0	53.0	31.0	67.0	31.0	36.0	36.6666666667
196	59,55,35	59.0	55.0	35.0	59.0	35.0	24.0	50.0
197	27,5,6	27.0	5.0	6.0	27.0	5.0	22.0	357.272727273
198	68,53,31	68.0	53.0	31.0	68.0	31.0	37.0	35.6756756757
199	50,40,29	50.0	40.0	29.0	50.0	29.0	21.0	31.4285714286
200	54,53,45	54.0	53.0	45.0	54.0	45.0	9.0	53.3333333333
201	67,51,40	67.0	51.0	40.0	67.0	40.0	27.0	24.4444444444
202	46,35,30	46.0	35.0	30.0	46.0	30.0	16.0	18.75
203	69,66,55	69.0	66.0	55.0	69.0	55.0	14.0	47.1428571429
204	30,27,22	30.0	27.0	22.0	30.0	22.0	8.0	37.5
205	34,40,40	34.0	40.0	40.0	40.0	34.0	6.0	180.0
206	130,151,145	130.0	151.0	145.0	151.0	130.0	21.0	162.857142857
207	25,31,32	25.0	31.0	32.0	32.0	25.0	7.0	188.571428571
208	28,35,37	28.0	35.0	37.0	37.0	28.0	9.0	193.333333333
209	31,39,42	31.0	39.0	42.0	42.0	31.0	11.0	196.363636364
210	20,24,24	20.0	24.0	24.0	24.0	20.0	4.0	180.0
211	24,34,36	24.0	34.0	36.0	36.0	24.0	12.0	190.0
212	41,49,50	41.0	49.0	50.0	50.0	41.0	9.0	186.666666667
213	26,37,40	26.0	37.0	40.0	40.0	26.0	14.0	192.857142857
214	13,23,25	13.0	23.0	25.0	25.0	13.0	12.0	190.0
215	35,61,74	35.0	61.0	74.0	74.0	35.0	39.0	200.0
216	13,45,54	13.0	45.0	54.0	54.0	13.0	41.0	193.170731707
217	50,93,104	50.0	93.0	104.0	104.0	50.0	54.0	192.222222222
218	37,74,85	37.0	74.0	85.0	85.0	37.0	48.0	193.75
219	11,37,45	11.0	37.0	45.0	45.0	11.0	34.0	194.117647059
220	12,22,26	12.0	22.0	26.0	26.0	12.0	14.0	197.142857143
221	13,23,26	13.0	23.0	26.0	26.0	13.0	13.0	193.846153846
222	19,27,31	19.0	27.0	31.0	31.0	19.0	12.0	200.0
223	83,113,123	83.0	113.0	123.0	123.0	83.0	40.0	195.0
224	11,16,16	11.0	16.0	16.0	16.0	11.0	5.0	180.0
225	13,20,20	13.0	20.0	20.0	20.0	13.0	7.0	180.0
226	46,76,92	46.0	76.0	92.0	92.0	46.0	46.0	200.869565217
227	14,17,19	14.0	17.0	19.0	19.0	14.0	5.0	204.0
228	44,66,74	44.0	66.0	74.0	74.0	44.0	30.0	196.0
229	36,47,48	36.0	47.0	48.0	48.0	36.0	12.0	185.0
230	83,97,106	83.0	97.0	106.0	106.0	83.0	23.0	203.47826087
231	70,83,88	70.0	83.0	88.0	88.0	70.0	18.0	196.666666667
232	60,77,85	60.0	77.0	85.0	85.0	60.0	25.0	199.2
233	77,102,108	77.0	102.0	108.0	108.0	77.0	31.0	191.612903226
234	69,92,98	69.0	92.0	98.0	98.0	69.0	29.0	192.413793103
235	125,152,155	125.0	152.0	155.0	155.0	125.0	30.0	186.0
236	94,107,108	94.0	107.0	108.0	108.0	94.0	14.0	184.285714286
237	119,120,113	119.0	120.0	113.0	120.0	113.0	7.0	68.5714285714
238	149,166,165	149.0	166.0	165.0	166.0	149.0	17.0	176.470588235
239	105,122,122	105.0	122.0	122.0	122.0	105.0	17.0	180.0
240	65,84,90	65.0	84.0	90.0	90.0	65.0	25.0	194.4
241	105,106,106	105.0	106.0	106.0	106.0	105.0	1.0	180.0
242	93,88,84	93.0	88.0	84.0	93.0	84.0	9.0	26.6666666667
243	117,139,141	117.0	139.0	141.0	141.0	117.0	24.0	185.0
244	135,152,148	135.0	152.0	148.0	152.0	135.0	17.0	165.882352941
245	97,123,129	97.0	123.0	129.0	129.0	97.0	32.0	191.25
246	118,133,129	118.0	133.0	129.0	133.0	118.0	15.0	164.0
247	117,110,101	117.0	110.0	101.0	117.0	101.0	16.0	33.75
248	108,71,51	108.0	71.0	51.0	108.0	51.0	57.0	21.0526315789
249	28,33,33	28.0	33.0	33.0	33.0	28.0	5.0	180.0
250	15,17,17	15.0	17.0	17.0	17.0	15.0	2.0	180.0
251	33,44,47	33.0	44.0	47.0	47.0	33.0	14.0	192.857142857
252	62,70,68	62.0	70.0	68.0	70.0	62.0	8.0	165.0
253	73,70,61	73.0	70.0	61.0	73.0	61.0	12.0	45.0
254	110,113,105	110.0	113.0	105.0	113.0	105.0	8.0	82.5
