i	rgb	r	g	b	maxRGB	minRGB	c	h
257	19,16,10	19.0	16.0	10.0	19.0	10.0	9.0	40.0
258	35,33,26	35.0	33.0	26.0	35.0	26.0	9.0	46.6666666667
259	38,36,29	38.0	36.0	29.0	38.0	29.0	9.0	46.6666666667
260	40,39,32	40.0	39.0	32.0	40.0	32.0	8.0	52.5
261	26,24,20	26.0	24.0	20.0	26.0	20.0	6.0	40.0
262	45,41,32	45.0	41.0	32.0	45.0	32.0	13.0	41.5384615385
263	44,41,32	44.0	41.0	32.0	44.0	32.0	12.0	45.0
264	35,30,22	35.0	30.0	22.0	35.0	22.0	13.0	36.9230769231
265	41,35,28	41.0	35.0	28.0	41.0	28.0	13.0	32.3076923077
266	48,44,35	48.0	44.0	35.0	48.0	35.0	13.0	41.5384615385
267	56,53,45	56.0	53.0	45.0	56.0	45.0	11.0	43.6363636364
268	41,35,27	41.0	35.0	27.0	41.0	27.0	14.0	34.2857142857
269	90,92,81	90.0	92.0	81.0	92.0	81.0	11.0	70.9090909091
270	49,46,39	49.0	46.0	39.0	49.0	39.0	10.0	42.0
271	87,94,71	87.0	94.0	71.0	94.0	71.0	23.0	78.2608695652
272	43,42,39	43.0	42.0	39.0	43.0	39.0	4.0	45.0
273	42,41,38	42.0	41.0	38.0	42.0	38.0	4.0	45.0
274	17,17,15	17.0	17.0	15.0	17.0	15.0	2.0	60.0
275	27,24,16	27.0	24.0	16.0	27.0	16.0	11.0	43.6363636364
276	35,37,34	35.0	37.0	34.0	37.0	34.0	3.0	100.0
277	31,34,32	31.0	34.0	32.0	34.0	31.0	3.0	140.0
278	40,44,41	40.0	44.0	41.0	44.0	40.0	4.0	135.0
279	24,22,16	24.0	22.0	16.0	24.0	16.0	8.0	45.0
280	33,31,23	33.0	31.0	23.0	33.0	23.0	10.0	48.0
281	29,28,21	29.0	28.0	21.0	29.0	21.0	8.0	52.5
282	26,23,15	26.0	23.0	15.0	26.0	15.0	11.0	43.6363636364
283	50,50,41	50.0	50.0	41.0	50.0	41.0	9.0	60.0
284	105,99,73	105.0	99.0	73.0	105.0	73.0	32.0	48.75
285	22,18,11	22.0	18.0	11.0	22.0	11.0	11.0	38.1818181818
286	15,13,9	15.0	13.0	9.0	15.0	9.0	6.0	40.0
287	16,13,8	16.0	13.0	8.0	16.0	8.0	8.0	37.5
288	14,12,9	14.0	12.0	9.0	14.0	9.0	5.0	36.0
289	15,13,9	15.0	13.0	9.0	15.0	9.0	6.0	40.0
290	11,9,7	11.0	9.0	7.0	11.0	7.0	4.0	30.0
291	23,17,8	23.0	17.0	8.0	23.0	8.0	15.0	36.0
292	12,11,10	12.0	11.0	10.0	12.0	10.0	2.0	30.0
293	14,15,12	14.0	15.0	12.0	15.0	12.0	3.0	80.0
294	12,12,11	12.0	12.0	11.0	12.0	11.0	1.0	60.0
295	15,15,13	15.0	15.0	13.0	15.0	13.0	2.0	60.0
296	17,16,14	17.0	16.0	14.0	17.0	14.0	3.0	40.0
297	15,14,13	15.0	14.0	13.0	15.0	13.0	2.0	30.0
298	15,15,13	15.0	15.0	13.0	15.0	13.0	2.0	60.0
299	15,15,13	15.0	15.0	13.0	15.0	13.0	2.0	60.0
300	11,11,10	11.0	11.0	10.0	11.0	10.0	1.0	60.0
301	17,14,10	17.0	14.0	10.0	17.0	10.0	7.0	34.2857142857
302	31,27,18	31.0	27.0	18.0	31.0	18.0	13.0	41.5384615385
303	12,11,8	12.0	11.0	8.0	12.0	8.0	4.0	45.0
304	13,12,9	13.0	12.0	9.0	13.0	9.0	4.0	45.0
305	20,17,11	20.0	17.0	11.0	20.0	11.0	9.0	40.0
306	31,27,17	31.0	27.0	17.0	31.0	17.0	14.0	42.8571428571
307	29,26,18	29.0	26.0	18.0	29.0	18.0	11.0	43.6363636364
308	27,24,16	27.0	24.0	16.0	27.0	16.0	11.0	43.6363636364
309	28,24,17	28.0	24.0	17.0	28.0	17.0	11.0	38.1818181818
310	28,24,17	28.0	24.0	17.0	28.0	17.0	11.0	38.1818181818
311	22,19,12	22.0	19.0	12.0	22.0	12.0	10.0	42.0
312	24,20,13	24.0	20.0	13.0	24.0	13.0	11.0	38.1818181818
313	28,23,15	28.0	23.0	15.0	28.0	15.0	13.0	36.9230769231
314	29,24,14	29.0	24.0	14.0	29.0	14.0	15.0	40.0
315	29,24,15	29.0	24.0	15.0	29.0	15.0	14.0	38.5714285714
316	22,19,14	22.0	19.0	14.0	22.0	14.0	8.0	37.5
317	24,20,12	24.0	20.0	12.0	24.0	12.0	12.0	40.0
318	35,29,18	35.0	29.0	18.0	35.0	18.0	17.0	38.8235294118
319	36,29,19	36.0	29.0	19.0	36.0	19.0	17.0	35.2941176471
320	36,32,24	36.0	32.0	24.0	36.0	24.0	12.0	40.0
321	48,42,30	48.0	42.0	30.0	48.0	30.0	18.0	40.0
322	64,56,41	64.0	56.0	41.0	64.0	41.0	23.0	39.1304347826
323	41,36,29	41.0	36.0	29.0	41.0	29.0	12.0	35.0
324	39,35,26	39.0	35.0	26.0	39.0	26.0	13.0	41.5384615385
325	86,82,65	86.0	82.0	65.0	86.0	65.0	21.0	48.5714285714
326	31,27,18	31.0	27.0	18.0	31.0	18.0	13.0	41.5384615385
327	30,26,19	30.0	26.0	19.0	30.0	19.0	11.0	38.1818181818
328	76,71,56	76.0	71.0	56.0	76.0	56.0	20.0	45.0
329	57,49,35	57.0	49.0	35.0	57.0	35.0	22.0	38.1818181818
330	30,26,19	30.0	26.0	19.0	30.0	19.0	11.0	38.1818181818
331	48,44,33	48.0	44.0	33.0	48.0	33.0	15.0	44.0
332	47,43,33	47.0	43.0	33.0	47.0	33.0	14.0	42.8571428571
333	70,63,48	70.0	63.0	48.0	70.0	48.0	22.0	40.9090909091
334	49,43,32	49.0	43.0	32.0	49.0	32.0	17.0	38.8235294118
335	55,49,36	55.0	49.0	36.0	55.0	36.0	19.0	41.0526315789
336	31,27,19	31.0	27.0	19.0	31.0	19.0	12.0	40.0
337	52,50,39	52.0	50.0	39.0	52.0	39.0	13.0	50.7692307692
338	75,70,53	75.0	70.0	53.0	75.0	53.0	22.0	46.3636363636
339	46,42,33	46.0	42.0	33.0	46.0	33.0	13.0	41.5384615385
340	50,47,38	50.0	47.0	38.0	50.0	38.0	12.0	45.0
341	50,46,37	50.0	46.0	37.0	50.0	37.0	13.0	41.5384615385
342	82,82,71	82.0	82.0	71.0	82.0	71.0	11.0	60.0
343	74,74,64	74.0	74.0	64.0	74.0	64.0	10.0	60.0
344	66,69,62	66.0	69.0	62.0	69.0	62.0	7.0	85.7142857143
