i	rgb	r	g	b	maxRGB	minRGB	c	h
286	30,34,36	30.0	34.0	36.0	36.0	30.0	6.0	200.0
287	96,83,72	96.0	83.0	72.0	96.0	72.0	24.0	27.5
288	118,112,109	118.0	112.0	109.0	118.0	109.0	9.0	20.0
289	34,27,22	34.0	27.0	22.0	34.0	22.0	12.0	25.0
290	41,32,26	41.0	32.0	26.0	41.0	26.0	15.0	24.0
291	42,38,34	42.0	38.0	34.0	42.0	34.0	8.0	30.0
292	80,67,58	80.0	67.0	58.0	80.0	58.0	22.0	24.5454545455
293	47,44,38	47.0	44.0	38.0	47.0	38.0	9.0	40.0
294	94,87,82	94.0	87.0	82.0	94.0	82.0	12.0	25.0
295	50,44,37	50.0	44.0	37.0	50.0	37.0	13.0	32.3076923077
296	96,87,78	96.0	87.0	78.0	96.0	78.0	18.0	30.0
297	37,29,24	37.0	29.0	24.0	37.0	24.0	13.0	23.0769230769
298	54,48,40	54.0	48.0	40.0	54.0	40.0	14.0	34.2857142857
299	111,105,107	111.0	105.0	107.0	111.0	105.0	6.0	340.0
300	112,110,111	112.0	110.0	111.0	112.0	110.0	2.0	330.0
301	88,87,91	88.0	87.0	91.0	91.0	87.0	4.0	255.0
302	85,84,77	85.0	84.0	77.0	85.0	77.0	8.0	52.5
303	48,34,24	48.0	34.0	24.0	48.0	24.0	24.0	25.0
304	66,72,70	66.0	72.0	70.0	72.0	66.0	6.0	160.0
305	90,87,86	90.0	87.0	86.0	90.0	86.0	4.0	15.0
306	75,72,72	75.0	72.0	72.0	75.0	72.0	3.0	0.0
307	96,94,96	96.0	94.0	96.0	96.0	94.0	2.0	300.0
308	75,70,70	75.0	70.0	70.0	75.0	70.0	5.0	0.0
309	78,75,71	78.0	75.0	71.0	78.0	71.0	7.0	34.2857142857
310	84,80,81	84.0	80.0	81.0	84.0	80.0	4.0	345.0
311	109,109,115	109.0	109.0	115.0	115.0	109.0	6.0	240.0
312	31,26,23	31.0	26.0	23.0	31.0	23.0	8.0	22.5
313	53,48,46	53.0	48.0	46.0	53.0	46.0	7.0	17.1428571429
314	67,66,63	67.0	66.0	63.0	67.0	63.0	4.0	45.0
315	94,87,77	94.0	87.0	77.0	94.0	77.0	17.0	35.2941176471
316	88,85,79	88.0	85.0	79.0	88.0	79.0	9.0	40.0
317	54,56,50	54.0	56.0	50.0	56.0	50.0	6.0	80.0
318	66,64,60	66.0	64.0	60.0	66.0	60.0	6.0	40.0
319	60,61,54	60.0	61.0	54.0	61.0	54.0	7.0	68.5714285714
320	72,66,58	72.0	66.0	58.0	72.0	58.0	14.0	34.2857142857
321	82,83,70	82.0	83.0	70.0	83.0	70.0	13.0	64.6153846154
322	74,68,57	74.0	68.0	57.0	74.0	57.0	17.0	38.8235294118
323	44,43,38	44.0	43.0	38.0	44.0	38.0	6.0	50.0
324	65,70,75	65.0	70.0	75.0	75.0	65.0	10.0	210.0
325	38,40,35	38.0	40.0	35.0	40.0	35.0	5.0	84.0
326	30,32,30	30.0	32.0	30.0	32.0	30.0	2.0	120.0
327	129,138,137	129.0	138.0	137.0	138.0	129.0	9.0	173.333333333
328	121,120,115	121.0	120.0	115.0	121.0	115.0	6.0	50.0
329	36,21,11	36.0	21.0	11.0	36.0	11.0	25.0	24.0
330	75,50,32	75.0	50.0	32.0	75.0	32.0	43.0	25.1162790698
331	97,90,81	97.0	90.0	81.0	97.0	81.0	16.0	33.75
332	52,51,48	52.0	51.0	48.0	52.0	48.0	4.0	45.0
333	65,65,66	65.0	65.0	66.0	66.0	65.0	1.0	240.0
